MV167󠁂,#genre#
歌曲《妈妈我想你》,https://vd4.bdstatic.com/mda-jggrf2wtsdm28iuk/sc/mda-jggrf2wtsdm28iuk.mp4

歌曲《浪子闲话》,https://vd3.bdstatic.com/mda-mkqa5jh6e8dgigza/sc/bd265_cae/1637838005472139142/mda-mkqa5jh6e8dgigza.mp4

歌曲《少年》,https://vd3.bdstatic.com/mda-kgdtp4v4a2wqpq3u/hd/bd265_cae/1638418995039917372/mda-kgdtp4v4a2wqpq3u.mp4

歌曲《伤心的泪》,https://vd3.bdstatic.com/mda-mjm0wcn6q29p8umu/sc/bd265_cae/1634912855839604486/mda-mjm0wcn6q29p8umu.mp4

歌曲《火火中国火火中国时代》,https://vd3.bdstatic.com/mda-kanb2ma5tf3ujtyu/sc/bd265_nowatermark/1607040265/mda-kanb2ma5tf3ujtyu.mp4

歌曲《曾经的恋人》,https://vd3.bdstatic.com/mda-mh36qvdcmv49f0eh/sc/bd265_cae/1628405796907618412/mda-mh36qvdcmv49f0eh.mp4

歌曲《怎么如此冷血》,https://vd4.bdstatic.com/mda-mjhe1qtakbryc5i1/sc/cae_h264_nowatermark/1634623997099955539/mda-mjhe1qtakbryc5i1.mp4

歌曲《今夜想喝醉》,https://vd3.bdstatic.com/mda-mesxbeak3n0t5m4x/sc/bd265_cae/1624357342866253655/mda-mesxbeak3n0t5m4x.mp4

歌曲《兄弟姐妹一家亲》,https://auc.tangdou.com/39D8639C4E4FAC8D9C33DC5901307461-20.mp4

歌曲《千千万万》,https://vd3.bdstatic.com/mda-mm0a243ym7p3i6zs/sc/bd265_cae/1638446679667345844/mda-mm0a243ym7p3i6zs.mp4

歌曲《今天你要嫁给我》,https://vd3.bdstatic.com/mda-kmwij6twj9q3kcei/hd/bd265_nowatermark/1610418079/mda-kmwij6twj9q3kcei.mp4

歌曲《有点甜》,https://vd3.bdstatic.com/mda-kmmit1upkntz17qq/sc/bd265_nowatermark/1608631881/mda-kmmit1upkntz17qq.mp4

歌曲《甜蜜日记》,https://vd2.bdstatic.com/mda-jejfz26zdpm1yf49/v1-cae/sc/mda-jejfz26zdpm1yf49.mp4


歌曲《就让我爱你》,http://vd3.bdstatic.com/mda-mm0cpn8tbvmnj0q5/hd/cae_h264/1638379500047378231/mda-mm0cpn8tbvmnj0q5.mp4?pd=19&vt=1

= 未分组 =
张大仙,http://121.12.115.16/tx.flv.huya.com/src/1259515661837-1259515661837-4682562792811659264-2519031447130-10057-A-0-1-imgplus.m3u8
V音乐HD,https://livecdn.fptplay.net/foxlive/channelvhd_hls.smil/chunklist_b2500000.m3u8
外国舞蹈,http://hls.shansontv.cdnvideo.ru/shansontv/smil:shansontv.smil/chunklist_b1996000.m3u8?hls_proxy_host=pub1.rtmp.s01.l.shansontv
风尚音乐,http://125.210.152.21:9120/live/FSYY.m3u8
高清娱乐,http://125.210.152.21:9120/live/GQYL.m3u8
让一切走吧,http://qukufile2.qianqian.com/data2/video/9b8c211240f116e311a931aeb20ffc2c/607960246/607960246.mp4
好运来,http://qukufile2.qianqian.com/data2/video/eec89851fbf3dea5c04cde1b3d792871/607947555/607947555.mp4
生僻字,http://qukufile2.qianqian.com/data2/video/cd26bddcc2a26e164a465c9f900198b9/611737959/611737959.mp4
吴莫愁+_+就現在,https://bj.bcebos.com/v1/baidu-little-video/vod-gechgi84v43uhfhp/mda-kkm1btpwqm25suzw.mp4
By2_没理由,https://bj.bcebos.com/v1/baidu-little-video/vod-gechgi84v43uhfhp/mda-kmbyf4x2aeqt8cds.mp4
萧全+_+社会摇,https://bj.bcebos.com/v1/baidu-little-video/vod-gechgi84v43uhfhp/mda-kkmxairac93q0vyu.mp4
撞+火箭少女101,http://qukufile2.qianqian.com/data2/video/a1a7f95a2b3d048962f48e94de90c3de/608006750/608006750.mp4
LIGHT+火箭少女101,http://qukufile2.qianqian.com/data2/video/691cd7852e98754882da7827879cc8dd/607968455/607968455.mp4
卡路里+火箭少女101,http://qukufile2.qianqian.com/data2/video/02cca8d7303f608a2ea1621a6ebd8ad4/607962657/607962657.mp4
荣誉星球+火箭少女101,http://qukufile2.qianqian.com/data2/video/c6dfcb0a40674ea89d95f90f648e24b0/614309868/614309868.mp4
毒液前来火+箭少女101,http://qukufile2.qianqian.com/data2/video/be217297601b7cb006f95f5f871d4053/608669409/608669409.mp4
陈小云爱人跟人走,http://vd4.bdstatic.com/mda-jgvqig36bu4rc0ej/sc/mda-jgvqig36bu4rc0ej.mp4
李玲玉女儿情,http://vd4.bdstatic.com/mda-jiqh0kcd7kgpwnmb/sc/mda-jiqh0kcd7kgpwnmb.mp4
二小姐酒梦,http://vd4.bdstatic.com/mda-jisq7k1t5n821tjt/sc/mda-jisq7k1t5n821tjt.mp4
孟庭苇-雾里看花,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/fi3PjAgsnTjwzAvSboT%40%40hd.m3u8
伤心痛,http://jsmov2.a.yximgs.com:80/upic/2019/12/23/16/BMjAxOTEyMjMxNjA2NTVfMTU0MDc1NjUwOF8yMDgzNzIyNjQ4Ml8yXzM=_b_Bb25f4d256d6e5bfd0cbd38d3c2324689.mp4
范玮琪-我们的纪念日,http://vodcdn.video.taobao.com/oss/taobao-ugc/d38a89c6b5ab41b4ab80423741fbe8d6/1466066405/video.m3u8.m3u8
天地无霜,https://vdse.bdstatic.com//bd1f7fcb1263b608c60793c5c7094ce9.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2020-01-31T15%3A25%3A13Z%2F-1%2Fhost
容祖儿/李克勤-相爱很难,http://vodcdn.video.taobao.com/oss/taobao-ugc/292bedca9ff44570924d111d4e3cab09/1520612407/video.m3u8.m3u8
孟庭苇-风中有朵雨做的云,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/Cg9qI5imMInpPvK5Mnm%40%40hd.m3u8
刘明湘-漂洋过海来看你,https://vd2.bdstatic.com/mda-md803hz7qezp459d/sc/mda-md803hz7qezp459d.mp4
蔡丽津月圆情,http://vd3.bdstatic.com/mda-jm53zq7k0b0kbxch/sc/mda-jm53zq7k0b0kbxch.mp4
孟庭苇-把思念寄托远方,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/Y0iKpwmE2YZona6PY7A%40%40hd.m3u8
孟庭苇-一个爱上浪漫的人,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/DpBYbctgwaRj7bEYzFn%40%40hd.m3u8
原版大鱼海棠,http://vd3.bdstatic.com/mda-jm9x2pw13gpb4d82/sc/mda-jm9x2pw13gpb4d82.mp4
翁立友今生今世,http://vd3.bdstatic.com/mda-ji4sadsbxes30b8h/mda-ji4sadsbxes30b8h.mp4
罗时丰爱情的路,http://vd4.bdstatic.com/mda-jcrjcp1wy5q2i00n/sc/mda-jcrjcp1wy5q2i00n.mp4
翁立友沃澹的相片,http://vd4.bdstatic.com/mda-jefjhd593hvtfjsc/sc/mda-jefjhd593hvtfjsc.mp4
张碧晨-凉凉,http://vodcdn.video.taobao.com/oss/taobao-ugc/81a4db5f7bb14f2e8260445fedc805c0/1484029283/video.m3u8.m3u8
大壮-我们不一样,http://vodcdn.video.taobao.com/oss/taobao-ugc/9572871aa45747a786679a822d7e2709/1511859261/video.m3u8.m3u8
李翊君-多情人都把灵魂给了谁,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/o1koj80kDcERprb8epC%40%40hd.m3u8
孟庭苇-相爱的可能,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/5lsxCqoKs6ZE7MfJZvM%40%40hd.m3u8
龙梅子-泪满天,http://vodcdn.video.taobao.com/oss/ali-video/2ea2890443421f58665a7fdf0a297265/video.m3u8
翁立友用泪写缘份,http://vd4.bdstatic.com/mda-ijfeqx4zc0gxq5jq/sc/mda-ijfeqx4zc0gxq5jq.mp4
孟庭苇-过冬,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/U9QKnKK2RpKMElnSS07%40%40hd.m3u8
孟庭苇-爱你太深,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/KbJb4OVT1yH1ZDvri5p%40%40hd.m3u8
裘正海-爱我的人和我爱的人,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/9Nbjzo7cialBKOcZ0fj%40%40hd.m3u8
孟庭苇-不下雨就出太阳吧,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/lhaW77A2RRwiJrh0CiJ%40%40hd.m3u8
翁立友表示,http://vd4.bdstatic.com/mda-ijge8r0m6vgx46ms/sc/mda-ijge8r0m6vgx46ms.mp4
翁立友爱过无心,http://vd4.bdstatic.com/mda-ijgqk17gxf3xh2wz/sc/mda-ijgqk17gxf3xh2wz.mp4阿桑-寂寞在唱歌,https://vd2.bdstatic.com/mda-km9s2rpnbupmirtf/v1-cae/1080p/mda-km9s2rpnbupmirtf.mp4
张信哲-信仰,https://vd4.bdstatic.com/mda-kf92mpmcu9zbyxn8/v1-cae/sc/mda-kf92mpmcu9zbyxn8.mp4
邱永传-十一年,https://vd3.bdstatic.com/mda-kb3nsdkbecwifihd/v1-cae/sc/mda-kb3nsdkbecwifihd.mp4
金莎-星月神话,https://vd4.bdstatic.com/mda-jjew0iw0dkh9dhh0/sc/mda-jjew0iw0dkh9dhh0.mp4
莫文蔚-电台情歌,https://vd4.bdstatic.com/mda-mact38ncv86a7z5x/v1-cae/1080p/mda-mact38ncv86a7z5x.mp4
西海情歌,https://rescdn.yishihui.com/longvideo/transcode/video/20190211/5623330miLkhSho5ndJuzfitI.m3u8
走天涯,https://rescdn.yishihui.com/longvideo/transcode/video/live/201903195623330Ci9D8opKfn5uycdVzC.m3u8
可可托海的牧羊人,https://rescdn.yishihui.com/longvideo/transcode/video/vpc/20201203/5623330QKXZMsNoW2yOEq5AGr.mp4
天上人间,http://em.21dtv.com/songs/60118252.mkv
做我的新娘DJ-路消遥,http://em.21dtv.com/songs/60117264.mkv
Iknow-安瑞甜,http://em.21dtv.com/songs/60116726.mkv
就是这个样-王雷雪,http://em.21dtv.com/songs/60130589.mkv
GOOdbey Darling-王梵瑞,http://em.21dtv.com/songs/60130590.mkv
专属魔力-金大喜,http://em.21dtv.com/songs/60120037.mkv
替补情人-艺君,http://em.21dtv.com/songs/60117149.mkv
关掉脑袋-lCE Lady,http://em.21dtv.com/songs/60118259.mkv
爱要逃-云飞儿,http://em.21dtv.com/songs/60118310.mkv
最美等候-郭静,http://em.21dtv.com/songs/60120032.mkv
硬盘里们的姑娘-梦幻同人志,http://em.21dtv.com/songs/60107005.mkv
早该说爱-杨红,http://em.21dtv.com/songs/60120034.mkv
天下縱横-张海峰,http://em.21dtv.com/songs/60120035.mkv
痛情歌-司徒兰芳,http://em.21dtv.com/songs/60120396.mkv
雨伤-左林右里,http://em.21dtv.com/songs/60120491.mkv
三更-金润吉,http://em.21dtv.com/songs/60122194.mkv
亲蜜爱人-金婷婷,http://em.21dtv.com/songs/60123251.mkv
爱上你是我犯的错-王宏天,http://em.21dtv.com/songs/60130579.mkv
LDVe!-古巨基,http://em.21dtv.com/songs/60130586.mkv
如果再次奔向你-王思远,http://em.21dtv.com/songs/60130587.mkv
万事如意-王梵瑞,http://em.21dtv.com/songs/60130591.mkv
望眼欲穿眼-倪金茂,http://em.21dtv.com/songs/60130593.mkv
追求吧一生就这么一次-王梵瑞,http://em.21dtv.com/songs/60130592.mkv
啱晒我-王琪,http://em.21dtv.com/songs/60130595.mkv
新的心跳,http://em.21dtv.com/songs/60116280.mkv
会飞的野马-吉克隽逸,http://em.21dtv.com/songs/60116625.mkv
无心地址-林明华-吕明银,http://em.21dtv.com/songs/60116634.mkv
不要怕-吉克隽逸,http://em.21dtv.com/songs/60116624.mkv
锐化-吉克隽逸,http://em.21dtv.com/songs/60116626.mkv
在你左右-吴莫愁,http://em.21dtv.com/songs/60116645.mkv
爱的第五季-安瑞甜,http://em.21dtv.com/songs/60116727.mkv
红颜知己-寒武纪,http://em.21dtv.com/songs/60116738.mkv
市井无赖-小泾县,http://em.21dtv.com/songs/60116741.mkv
心中的图书-小男孩乐队,http://em.21dtv.com/songs/60116743.mkv
绿野户外驴歌-小老头,http://em.21dtv.com/songs/60116744.mkv
小苹果-筷子兄弟,http://em.21dtv.com/songs/60116745.mkv
为你心动-小龙女,http://em.21dtv.com/songs/60116747.mkv
等你来爱-巴桑拉姆,http://em.21dtv.com/songs/60116759.mkv
混蛋我想你-李宇春,http://em.21dtv.com/songs/60116899.mkv
拼出名-杨荣辉,http://em.21dtv.com/songs/60116950.mkv
甜甜蜜蜜-甲子慧,http://em.21dtv.com/songs/60117061.mkv
什么东西-管罄,http://em.21dtv.com/songs/60117112.mkv
阿弥勒佛-苏亚,http://em.21dtv.com/songs/60117153.mkv
主要是看气质-苏勒亚其其格,http://em.21dtv.com/songs/60117156.mkv
你觉得我配她吗,http://em.21dtv.com/songs/60111003.mkv
comeToMami,http://em.21dtv.com/songs/60110502.mkv
化蝶随你飞,http://em.21dtv.com/songs/60110003.mkv
寂寞的夜里想起你,http://em.21dtv.com/songs/60110004.mkv
你妈把你嫁给谁,http://em.21dtv.com/songs/60110480.mkv
我在断桥等你,http://em.21dtv.com/songs/60110492.mkv
富贵竹MTV10519,http://em.21dtv.com/songs/60110518.mkv
男儿要自强,http://em.21dtv.com/songs/60110467.mkv
致永不消逝的青春,http://em.21dtv.com/songs/60110737.mkv
过来人,http://em.21dtv.com/songs/60127953.mkv
公主发威,http://em.21dtv.com/songs/60102378.mkv
莫失莫忘,http://em.21dtv.com/songs/60110089.mkv
想爱无依我不配,http://em.21dtv.com/songs/60111008.mkv
挽留,http://em.21dtv.com/songs/60111009.mkv
梦的翅膀,http://em.21dtv.com/songs/60111010.mkv
肥仔个头,http://em.21dtv.com/songs/60111012.mkv
在路上,http://em.21dtv.com/songs/60111055.mkv
倩女幽魂,http://em.21dtv.com/songs/60111064.mkv
一吻两心印-张学友,http://em.21dtv.com/songs/60111067.mkv
你想干什么,http://em.21dtv.com/songs/60111070.mkv
灵魂尽头,http://em.21dtv.com/songs/60111071.mkv
发光时代,http://em.21dtv.com/songs/60111074.mkv
中华梦圆,http://em.21dtv.com/songs/60111083.mkv
原来你什么都不要-张杰,http://em.21dtv.com/songs/60111076.mkv
情非得以,http://em.21dtv.com/songs/60111077.mkv
可惜不是你,http://em.21dtv.com/songs/60111078.mkv
即墨之歌,http://em.21dtv.com/songs/60111085.mkv
向往潇湘,http://em.21dtv.com/songs/60111086.mkv
大理茶花等你来,http://em.21dtv.com/songs/60111087.mkv
情系五峰山,http://em.21dtv.com/songs/60111088.mkv
三朝泪化曲,http://em.21dtv.com/songs/60111093.mkv
愿,http://em.21dtv.com/songs/60111095.mkv
时光倒流,http://em.21dtv.com/songs/60111097.mkv
桑塔露琪亚,http://em.21dtv.com/songs/60111099.mkv
南无阿弥勒佛,http://em.21dtv.com/songs/60111119.mkv
伤人-掠琼,http://em.21dtv.com/songs/60111126.mkv
你是我最爱的男子-掠琼,http://em.21dtv.com/songs/60111127.mkv
梦中女孩-易帆,http://em.21dtv.com/songs/60111130.mkv
今生最爱的你-晓晓,http://em.21dtv.com/songs/60111135.mkv
永远做兄弟-曾春年-秀才,http://em.21dtv.com/songs/60111143.mkv
天秤先生-粤语,http://em.21dtv.com/songs/60118264.mkv
王子梦-莫莫,http://em.21dtv.com/songs/60117173.mkv
先生有事吗-蔡健雅,http://em.21dtv.com/songs/60117194.mkv
无底洞蔡健雅,http://em.21dtv.com/songs/60117198.mkv
潜蓝色-袁娅维,http://em.21dtv.com/songs/60117206.mkv
甲你惜命命-谢金晶,http://em.21dtv.com/songs/60117239.mkv
再见-鄧紫棋/,http://em.21dtv.com/songs/60117269.mkv
字母歌-鄧超,http://em.21dtv.com/songs/60117271.mkv
幸福不设限-郭静,http://em.21dtv.com/songs/60117288.mkv
梦想家-金志文,http://em.21dtv.com/songs/60117294.mkv
让我一次爱个够-金志文,http://em.21dtv.com/songs/60117296.mkv
金钱与真爱-阿权,http://em.21dtv.com/songs/60117313.mkv
我们做夫妻-陈咏-陈娇,http://em.21dtv.com/songs/60117329.mkv
割绳子-儿歌,http://em.21dtv.com/songs/60117404.mkv
夏曰真心话-SNH48,http://em.21dtv.com/songs/60117488.mkv
初恋蝴蝶-SNH48,http://em.21dtv.com/songs/60117487.mkv
灵儿想叮当-SlNG,http://em.21dtv.com/songs/60117484.mkv
狼与自尊-SNH48,http://em.21dtv.com/songs/60117489.mkv
献给明天的吻-SNH48,http://em.21dtv.com/songs/60117490.mkv
蜜蜂女孩-SNH48,http://em.21dtv.com/songs/60117491.mkv
青春的花瓣-SNH48,http://em.21dtv.com/songs/60117493.mkv
你是我的李白-丁丁,http://em.21dtv.com/songs/60117519.mkv
夜店之夜-于志杰,http://em.21dtv.com/songs/60117532.mkv
江湖-佳林,http://em.21dtv.com/songs/60117553.mkv
醉一回-冈林,http://em.21dtv.com/songs/60117563.mkv
把你丢进淡水河里-冼佩瑾,http://em.21dtv.com/songs/60117569.mkv
一个人跳舞-凤凰传奇,http://em.21dtv.com/songs/60117570.mkv
动起来-凤凰传奇,http://em.21dtv.com/songs/60117571.mkv
忘情森巴舞-凤凰传奇,http://em.21dtv.com/songs/60117572.mkv
自由自在-凤凰传奇,http://em.21dtv.com/songs/60117574.mkv
我是一只小小鸟-李宗盛,http://em.21dtv.com/songs/60117598.mkv
吉星高照-卓青,http://em.21dtv.com/songs/60117608.mkv
DANCE-周妟伊,http://em.21dtv.com/songs/60117619.mkv
这样的爱算什么-娅琳,http://em.21dtv.com/songs/60117649.mkv
